Nomer,IDKostumer,Nama,NilaiKredit,Provinsi,JenisKelamin,Umur,tenor,saldo,jumlahProduk,PunyaKartuKredit,NasabahAktif,PerkiraanPendapatan,TutupRekening
1,15634602,ERWIN TJAHJONO,619,DKI Jakarta,Laki-Laki,42,2,0,1,1,1,10134888000,1
2,15647311,DAVIANDRIE ANDIKA BAHROENY,608,Jawa Barat,Laki-Laki,41,1,8380786000,1,0,1,11254258000,0
3,15619304,ELAN KURNIAWAN,502,DKI Jakarta,Laki-Laki,42,8,1596608000,3,1,0,11393157000,1
4,15701354,AYU DWI CAHYANING MUKTI,699,DKI Jakarta,Perempuan,39,1,0,2,0,0,9382663000,0
5,15737888,WAHYOEDIN,850,Jawa Barat,Laki-Laki,43,2,12551082000,1,1,1,790841000,0
6,15574012,NURHAENI,645,Jawa Barat,Perempuan,44,8,11375578000,2,1,0,14975671000,1
7,15592531,HARDINA PUTRI KINANTY Z,822,DKI Jakarta,Perempuan,50,7,0,2,1,1,100628000,0
8,15656148,HJ SUKAINI,376,Jawa Tengah,Perempuan,29,4,11504674000,4,1,0,11934688000,1
9,15792365,GIOVANNI SHELLA,501,DKI Jakarta,Perempuan,44,4,14205107000,2,0,1,749405000,0
10,15592389,HADI SOEROTO,684,DKI Jakarta,Laki-Laki,27,2,13460388000,1,1,1,7172573000,0
11,15767821,BENO FIRMANTO,528,DKI Jakarta,Laki-Laki,31,6,10201672000,2,0,0,8018112000,0
12,15737173,HERNANI,497,Jawa Barat,Perempuan,24,3,0,2,1,0,7639001000,0
13,15632264,TANDE AULY MARYUN,476,DKI Jakarta,Laki-Laki,34,10,0,2,1,0,2626098000,0
14,15691483,SUTOMO,549,DKI Jakarta,Laki-Laki,25,5,0,2,0,0,19085779000,0
15,15600882,IRAWAN,635,Jawa Barat,Laki-Laki,35,7,0,2,1,1,6595165000,0
16,15643966,RUMANAH,616,Jawa Tengah,Perempuan,45,3,14312941000,2,0,1,6432726000,0
17,15737452,ULYA RIDHA MAFAZAH,653,Jawa Tengah,Perempuan,58,1,13260288000,1,1,0,509767000,1
18,15788218,MARDIANAH,549,Jawa Barat,Perempuan,24,9,0,2,1,1,1440641000,0
19,15661507,YUNITA WATI,587,Jawa Barat,Perempuan,45,6,0,1,0,0,15868481000,0
